@relation cloudstack

@attribute issuecleanedbodylen numeric
@attribute ncommitsbycreator numeric
@attribute ncommitsinproject numeric
@attribute nissuesbycreator numeric
@attribute nissuesbycreatorclosed numeric
@attribute nissuescreatedinproject numeric
@attribute nissuescreatedinprojectclosed numeric
@attribute timeopen {0,1}


@data
45,0,1276,1,0,23,19,0
12,6,775,2,1,445,413,0
54,21,277,14,10,164,78,1
59,0,676,4,3,428,308,1
69,0,832,4,2,66,58,1
33,49,787,11,10,424,390,0
120,18,241,18,16,143,64,1
12,19,844,52,21,321,270,0
14,0,808,6,5,448,416,1
97,0,1194,14,13,177,167,1
35,0,620,1,0,380,262,1
31,236,1234,7,6,226,206,0
136,27,637,24,18,366,250,1
104,211,693,13,12,435,320,0
71,0,1196,13,12,211,190,0
70,40,570,29,26,337,234,1
114,0,278,1,0,168,80,1
38,0,875,4,2,436,403,0
12,0,643,17,12,362,250,1
45,7,1205,7,6,112,101,0
69,46,1164,3,2,146,130,0
172,0,969,49,49,403,379,0
161,51,726,23,22,406,309,1
49,0,844,1,0,70,62,1
34,0,389,1,0,236,140,1
89,0,483,3,3,295,196,1
32,19,844,78,21,346,269,1
6,20,1209,14,13,172,157,0
45,0,668,33,24,417,302,0
109,17,610,5,4,348,234,0
57,0,630,22,15,389,269,0
141,0,682,12,5,362,272,1
12,19,844,86,21,354,269,1
18,33,764,11,7,370,322,0
40,69,700,33,30,418,305,1
142,0,602,12,8,345,239,1
42,0,1274,1,0,23,20,1
10,16,1205,8,8,113,101,1
31,50,641,13,12,365,246,1
44,0,1305,1,0,30,23,1
9,40,630,29,21,388,269,0
117,0,335,2,0,203,111,1
3,19,237,20,13,159,67,0
108,175,837,1,1,62,56,1
1138,0,615,3,2,390,259,1
27,0,1471,2,1,41,37,1
11,0,1186,7,5,174,163,0
84,270,695,36,32,393,299,1
3,81,944,34,31,446,412,1
122,0,1226,1,0,280,257,1
53,16,1246,1,0,236,213,0
16,1,1130,1,0,48,38,0
61,0,700,10,5,392,302,0
94,0,672,5,5,375,259,1
17,19,844,81,21,349,269,1
82,3,243,5,2,141,64,1
8,0,1183,4,3,183,172,0
63,0,1172,2,0,106,98,1
25,0,874,29,25,441,400,1
42,19,844,72,21,340,269,0
66,0,873,25,23,441,411,0
18,30,668,28,21,388,272,0
16,0,792,5,4,433,397,1
15,0,613,14,8,352,235,1
18,48,664,26,23,382,288,0
47,0,683,15,15,363,282,1
16,0,1171,25,24,154,135,0
82,0,1277,5,0,27,19,1
35,0,875,1,0,441,401,0
17,11,929,3,2,374,347,0
26,0,798,12,10,461,422,0
18,5,1207,9,8,190,174,0
24,35,469,13,12,286,188,1
17,20,857,12,11,453,422,0
63,3,1237,4,2,232,209,1
80,0,726,6,3,407,309,0
25,19,844,82,21,350,269,0
123,0,251,3,0,160,72,0
57,1,870,5,3,449,416,0
45,0,804,8,1,419,374,1
13,0,1141,14,13,285,260,0
13,0,666,8,6,357,266,1
137,50,648,14,12,366,246,0
60,0,868,2,0,45,36,1
78,15,811,7,6,449,415,1
8,0,664,26,18,388,267,1
19,11,1169,21,11,288,258,0
14,0,823,3,2,440,415,1
35,0,665,9,4,388,276,1
21,1,619,1,0,355,237,1
43,0,931,7,6,439,406,0
24,83,903,91,78,361,327,0
64,87,688,26,25,433,315,0
39,0,699,6,3,420,311,1
9,135,964,106,101,395,370,0
27,59,939,17,16,391,366,0
8,7,710,10,7,392,302,1
521,0,1202,12,11,208,186,0
112,0,711,1,0,370,302,1
32,0,1164,3,1,143,130,1
26,0,1156,1,0,131,119,1
66,0,867,26,25,451,417,0
10,0,1141,20,17,287,262,0
270,0,791,15,13,432,398,1
124,0,251,4,1,161,73,1
47,83,669,23,22,422,307,0
5,49,901,14,12,360,326,1
87,0,664,3,1,389,267,1
10,0,667,1,0,382,278,1
14,13,620,21,7,374,254,1
44,0,1201,1,0,213,192,0
46,0,643,5,2,398,282,1
69,7,336,1,0,210,113,1
54,3,1161,3,2,90,83,0
9,41,928,2,1,43,35,1
38,0,765,32,30,447,413,1
228,101,266,29,24,158,74,1
17,49,586,29,27,344,240,0
72,0,690,3,2,417,300,1
18,1,732,6,5,414,314,1
42,13,791,4,3,435,395,1
22,11,792,13,12,460,417,1
45,242,1251,11,8,238,215,0
14,0,1258,9,8,251,228,0
356,34,742,8,7,445,400,1
84,32,636,9,8,362,246,1
25,0,873,29,24,442,399,0
46,19,1128,30,21,299,270,1
5,75,869,36,34,444,414,0
21,111,940,104,100,396,372,0
41,0,636,1,2,387,265,0
24,42,643,30,22,396,282,0
15,0,680,1,0,366,281,1
8,0,1250,8,7,237,215,0
11,30,674,14,8,386,272,0
25,63,974,27,26,424,399,1
287,26,643,22,18,363,250,1
30,4,274,1,0,167,80,1
14,0,1199,4,3,160,149,0
8,0,1164,8,1,149,130,1
71,0,711,2,0,367,302,1
24,0,970,18,17,404,380,0
18,19,844,43,21,312,270,0
17,19,844,56,21,325,270,0
25,0,1253,53,52,279,255,0
18,1,671,2,1,386,273,0
907,0,1049,1,0,20,13,1
43,0,683,4,3,423,309,1
21,0,937,2,1,437,401,0
101,0,763,2,2,446,404,0
60,23,678,21,19,429,310,1
1,0,1120,1,0,85,80,0
240,7,1444,2,1,41,36,0
80,0,944,1,0,446,411,1
26,19,1128,25,21,294,270,1
27,0,1164,4,1,144,130,1
43,53,791,23,20,436,396,1
38,0,970,51,51,411,388,0
23,0,767,2,1,452,406,1
63,0,874,30,24,444,403,0
118,18,702,10,8,417,304,0
47,0,1163,2,1,286,263,1
25,42,1210,6,5,165,153,0
205,0,281,4,1,174,88,1
10,0,1289,1,0,29,22,1
41,19,1128,26,21,295,270,1
16,0,1226,39,38,225,205,0
10,19,844,59,21,328,270,0
117,0,1266,17,16,258,239,1
9,0,278,1,0,168,80,1
96,15,713,22,14,424,304,1
7,9,1078,6,5,72,66,1
72,0,693,1,0,420,300,0
34,94,823,44,40,443,416,0
10,0,613,13,8,353,234,1
111,0,806,1,0,463,425,1
26,19,844,75,21,343,269,0
69,31,630,21,18,392,274,1
38,0,649,10,3,402,283,0
44,0,790,3,1,420,384,1
25,238,714,26,21,425,304,1
40,1,620,3,3,386,263,1
27,173,838,2,1,69,59,0
77,19,806,6,4,445,413,1
68,18,939,4,1,429,399,1
8,2,765,1,0,446,413,0
72,3,677,11,4,410,307,1
66,0,930,3,1,438,403,0
15,6,1262,7,4,266,250,0
141,1,812,2,1,442,414,1
5,0,650,1,0,383,259,0
68,1,1052,1,0,19,12,1
216,71,636,19,20,392,274,1
37,0,632,10,8,350,255,1
82,56,772,23,19,443,402,1
43,0,1198,34,33,202,185,0
19,43,926,3,1,44,35,0
132,0,1117,12,11,52,43,1
67,0,671,22,14,391,276,1
49,0,846,3,2,57,51,0
32,7,660,11,10,386,267,1
7,102,930,98,92,377,349,0
57,1,664,9,4,356,263,1
108,12,713,23,16,426,298,1
48,0,1155,23,22,140,129,0
45,66,620,22,14,345,243,1
61,4,645,11,4,370,246,1
9,5,1204,13,11,206,186,1
198,9,710,19,16,423,299,1
27,0,638,24,18,395,278,1
64,0,969,25,23,417,392,0
150,23,240,21,16,157,69,1
35,102,266,27,22,156,72,1
44,0,611,2,1,349,232,1
21,0,1453,10,9,40,36,0
48,0,746,34,31,446,414,1
7,0,684,2,0,360,277,1
15,0,955,2,1,426,398,0
9,0,1277,2,0,24,19,0
11,62,972,22,22,412,390,0
345,22,282,16,13,162,75,1
64,0,746,12,8,368,312,1
22,0,1377,1,0,41,35,0
50,3,647,4,4,365,264,1
4,0,1190,3,2,174,161,0
14,19,844,71,21,340,270,0
96,101,264,21,20,149,70,0
50,99,268,31,24,164,73,1
349,0,278,5,1,167,80,1
14,0,1262,49,48,264,248,0
50,0,683,30,25,412,307,1
9,0,1262,14,9,242,222,1
52,0,278,1,0,157,70,1
115,0,241,1,0,158,65,1
11,19,844,65,21,334,270,0
57,1,870,6,4,450,417,0
10,1,221,4,3,150,65,1
325,0,748,1,0,370,312,1
30,236,1235,8,6,228,207,1
10,73,1037,1,0,24,17,0
86,86,676,25,22,427,308,0
16,19,1121,38,21,307,270,0
310,60,690,10,9,362,272,1
16,0,931,16,15,375,348,0
47,5,629,5,4,375,257,1
82,56,772,22,19,442,402,1
37,0,695,8,4,360,284,1
23,55,771,18,17,439,403,0
41,0,681,5,1,422,307,1
45,0,1268,2,0,272,253,1
63,0,680,31,25,418,306,1
600,37,786,7,7,443,404,1
255,0,1072,11,10,79,73,1
17,10,711,20,16,424,299,1
37,19,1128,29,21,298,270,1
84,2,242,4,2,143,65,1
62,0,885,9,8,438,404,1
29,0,790,2,1,425,389,1
36,51,661,25,21,380,271,0
7,135,964,110,101,399,370,0
58,29,690,25,22,361,272,1
29,0,660,1,0,372,254,1
35,9,1205,8,6,115,103,0
30,0,771,5,3,442,401,1
112,53,653,15,14,368,251,0
85,0,1126,11,10,49,38,0
31,11,670,15,16,385,271,0
25,0,1255,16,14,276,251,1
122,0,661,11,4,382,272,1
12,0,612,2,2,351,234,1
8,0,934,26,21,382,351,1
36,41,615,11,10,354,231,1
3,56,745,17,15,448,413,0
35,0,681,4,0,360,277,1
6,0,773,1,0,447,413,1
12,0,802,6,1,417,374,1
94,11,711,21,16,424,298,1
321,188,668,11,8,421,306,1
150,21,934,12,3,438,403,1
71,6,1257,6,4,249,227,1
7,0,671,2,1,385,273,1
7,0,1187,9,6,176,164,0
145,0,938,17,16,388,364,0
28,215,562,38,35,335,230,1
40,0,604,2,0,346,240,1
47,7,633,15,14,363,241,1
9,13,882,6,4,46,36,1
6,70,725,33,29,415,305,0
17,272,708,30,29,394,297,0
21,0,1198,4,3,201,185,1
23,0,641,1,0,382,262,1
25,0,696,10,6,412,298,1
39,14,1328,6,4,32,24,0
34,0,644,9,6,369,246,1
137,4,616,13,6,350,240,1
116,18,615,9,7,354,232,1
44,0,1195,30,29,179,168,0
219,0,1161,12,11,100,94,0
36,0,1263,46,45,260,241,0
38,0,1180,11,10,96,92,0
31,0,663,1,0,357,263,1
29,29,763,9,6,372,325,0
41,0,671,6,4,392,276,1
98,0,1170,2,1,97,93,1
20,0,758,14,11,436,385,1
305,74,651,22,16,384,268,1
166,19,227,18,12,156,64,1
75,0,1385,1,0,40,35,1
19,0,1221,21,20,125,115,0
23,63,943,19,17,393,367,0
54,0,1172,14,12,94,89,0
929,0,1047,2,1,23,17,1
31,0,673,1,0,377,262,1
32,18,749,21,18,373,319,1
63,0,755,7,3,373,315,1
17,273,709,32,29,396,297,0
17,0,660,20,15,381,270,1
24,1,646,1,0,384,268,1
181,0,1210,13,12,113,106,0
4,15,1329,7,5,33,25,0
4,0,1156,3,1,130,119,1
61,0,1389,1,0,39,35,1
10,0,665,23,15,383,269,1
86,102,266,24,20,153,70,0
52,0,683,2,0,414,307,0
39,33,626,13,10,388,267,0
69,0,837,3,2,63,56,1
9,51,666,25,25,385,276,1
36,17,876,4,3,447,418,1
65,2,745,6,4,450,413,1
77,0,639,25,17,381,260,1
6,17,762,19,17,366,322,1
73,0,639,2,1,388,267,1
7,38,622,27,18,390,261,0
12,19,844,87,21,355,269,1
20,87,869,43,37,447,415,0
2,1,802,4,2,441,411,0
926,0,1050,3,2,25,19,1
17,19,930,8,1,431,397,1
17,0,928,2,0,438,404,1
25,3,278,2,0,161,68,1
25,3,648,4,3,360,264,1
61,0,1202,35,34,209,186,0
14,0,1216,2,0,197,181,0
55,0,630,23,15,390,269,1
45,6,750,8,5,451,413,1
440,0,1245,1,0,279,256,0
29,11,1169,17,11,284,258,0
82,6,268,4,2,161,73,1
67,29,680,26,25,419,315,1
21,0,1208,12,9,220,199,1
13,2,972,13,11,405,382,1
25,0,1238,18,16,281,263,0
173,74,619,23,16,386,261,1
389,0,960,23,22,408,382,0
48,9,1267,12,6,272,252,1
40,0,1164,2,1,142,130,1
122,2,613,12,5,352,234,1
48,0,711,9,3,428,302,1
44,0,645,25,18,399,281,0
10,7,655,14,12,359,262,1
22,12,1405,1,0,40,34,0
12,1,889,1,0,45,36,1
13,0,1083,2,1,43,35,0
24,19,844,46,21,315,270,0
35,0,649,3,2,405,283,1
10,56,1203,8,7,186,172,0
91,0,1263,1,0,256,236,1
28,33,670,11,8,376,259,1
53,1,783,3,2,456,415,1
21,0,1171,10,9,93,88,0
26,40,710,30,29,400,304,1
29,0,940,4,3,434,403,1
78,0,662,3,1,388,268,1
17,0,765,4,3,450,405,1
17,0,761,2,1,438,387,0
110,10,690,8,7,423,308,0
47,49,643,20,18,365,246,0
29,10,875,3,0,440,401,0
9,0,1169,1,0,98,93,1
15,7,788,9,6,460,422,1
53,0,661,28,19,415,291,1
48,1,646,2,0,385,268,1
48,0,748,3,0,372,319,1
7,0,1249,7,6,236,214,0
77,254,719,27,26,418,302,0
25,29,667,27,21,387,272,1
40,6,1045,1,0,19,12,0
97,2,795,2,1,461,418,0
9,54,680,32,28,419,306,1
49,0,1211,20,19,119,110,0
111,0,804,16,15,420,374,0
84,17,610,7,4,348,232,0
25,0,1245,1,0,277,254,0
38,14,1328,5,3,31,23,0
83,14,664,28,22,386,287,1
23,0,837,2,1,440,415,0
45,0,707,8,3,426,301,1
46,35,750,9,7,444,398,0
73,0,689,3,2,362,274,1
67,14,666,27,22,387,289,1
18,0,660,10,4,382,272,1
7,135,964,111,101,400,370,0
58,19,877,11,10,448,418,1
12,1,763,2,1,370,325,1
382,0,943,25,24,437,403,1
10,19,844,60,21,329,270,0
14,7,710,8,7,390,302,1
35,174,939,11,10,390,366,1
35,72,618,11,11,354,237,1
5,46,1226,10,9,278,257,0
16,0,752,18,17,449,417,0
42,45,760,17,13,444,393,1
51,0,702,7,6,433,319,1
1112,0,1169,9,8,92,87,0
45,0,668,34,25,418,303,1
49,25,688,26,19,434,315,1
27,67,693,33,29,392,300,1
68,0,1161,1,0,99,94,0
86,0,675,3,1,386,273,1
13,19,844,70,21,339,270,0
15,19,844,51,21,320,270,0
10,44,656,13,9,378,260,1
30,36,606,26,17,385,255,1
19,0,1251,51,50,277,252,0
155,15,1170,10,9,158,138,0
26,4,619,4,3,374,255,0
34,0,869,11,9,445,408,1
112,0,645,4,2,401,281,1
13,2,971,12,10,402,379,0
28,0,643,8,6,397,282,1
416,0,600,1,0,344,239,1
79,231,1313,3,2,23,21,1
37,92,637,12,10,365,249,1
58,21,255,19,16,139,72,1
70,17,1201,11,10,198,182,0
63,0,711,1,0,368,302,1
187,0,1077,9,8,76,68,0
7,46,1257,8,7,247,226,0
55,0,680,8,6,425,316,1
97,9,1205,7,6,114,103,0
95,6,680,15,11,419,306,1
68,7,873,3,2,446,418,1
39,0,607,8,0,386,255,1
11,19,1121,39,21,308,270,0
369,54,671,33,28,425,308,1
40,0,649,11,3,404,283,1
120,22,276,17,13,159,69,1
57,0,682,3,3,422,309,1
8,4,1070,6,5,78,73,0
2,51,632,20,19,349,254,0
12,15,664,23,25,382,284,1
19,6,765,5,4,448,413,0
47,7,1263,8,5,267,251,0
25,13,768,6,5,439,400,1
33,0,939,27,22,389,365,1
31,0,1150,28,27,175,164,0
20,41,790,8,7,436,395,0
18,0,1164,5,1,145,130,1
73,109,946,103,99,394,369,0
173,0,1148,22,21,137,125,0
63,0,655,13,4,414,288,1
19,0,683,11,5,360,276,1
24,0,907,24,21,368,334,1
5,0,914,15,14,374,339,0
4,34,1078,7,5,75,68,1
20,27,664,25,21,386,276,1
10,19,844,64,21,333,270,0
91,225,702,18,16,415,303,0
24,0,840,1,0,53,46,1
122,0,247,1,0,157,71,0
51,0,931,5,4,441,408,1
14,19,844,57,21,326,270,0
27,19,844,76,21,344,269,0
27,0,1204,1,0,205,186,1
34,0,1216,3,0,223,200,0
154,24,639,22,20,378,259,1
20,0,615,4,2,391,259,1
23,0,745,35,31,449,413,1
7,102,930,97,92,376,349,0
26,30,676,16,9,386,274,1
36,45,619,12,11,356,237,1
25,0,684,12,5,361,276,1
24,12,801,18,15,422,385,1
124,0,1194,3,2,210,188,1
43,0,805,1,0,421,374,1
16,12,675,8,6,380,262,1
14,1,825,3,2,439,415,1
64,30,665,17,9,384,269,1
26,19,844,74,21,342,269,0
11,19,844,58,21,327,270,0
29,19,1128,28,21,297,270,1
85,0,279,5,4,162,68,1
48,0,683,1,0,413,307,1
46,269,725,29,29,410,312,0
3,0,1435,1,0,13,4,1
71,0,755,6,3,372,315,1
11,19,844,84,21,352,269,0
20,5,743,6,4,443,411,0
132,5,661,10,9,361,265,1
10,19,844,61,21,330,270,0
205,0,643,10,3,397,282,1
20,0,1214,32,31,197,179,0
9,1,810,1,0,443,415,0
92,4,653,11,6,356,260,1
29,0,1035,3,2,45,36,0
80,131,1144,4,3,286,260,0
77,0,617,3,1,349,239,1
7,36,607,25,16,384,254,0
23,13,703,21,14,421,299,1
62,5,607,9,5,383,254,1
98,0,332,1,1,192,105,1
32,61,794,17,16,456,415,0
4,22,1181,15,14,180,169,1
38,0,700,8,7,419,311,1
45,30,674,15,8,386,272,1
43,64,936,29,27,426,400,1
19,0,664,2,0,386,269,1
190,0,683,1,0,425,308,1
21,29,620,19,17,384,258,1
37,19,1128,27,21,296,270,1
45,0,1257,1,0,248,226,0
11,84,904,94,79,364,328,0
43,0,695,1,0,364,290,1
20,0,1184,26,25,159,139,0
103,0,1081,8,7,71,65,0
17,0,633,4,3,353,255,1
13,0,1258,44,43,252,228,0
36,151,968,115,112,421,394,0
73,0,1173,14,13,157,137,0
3,61,972,26,24,423,396,0
153,50,790,10,9,441,402,1
12,19,1121,36,21,305,270,0
4,62,970,24,22,419,394,0
26,11,1169,16,11,283,258,0
12,0,876,3,1,442,412,0
133,0,253,7,2,162,67,1
63,0,683,9,5,364,282,1
39,236,1235,10,6,231,207,1
43,6,748,7,5,450,412,1
15,0,1207,3,2,216,195,1
8,55,767,24,22,372,323,1
63,0,971,4,2,401,379,1
21,5,1207,14,12,217,198,0
40,48,664,29,24,386,288,1
15,19,1121,37,21,306,270,0
8,3,682,4,2,413,305,1
103,0,1201,11,10,199,182,0
25,8,802,11,10,462,421,1
66,30,284,21,19,142,84,0
13,30,610,21,17,388,255,1
12,0,1234,6,5,227,206,0
99,6,699,13,12,413,299,1
184,94,700,28,26,422,310,1
15,19,1204,12,12,168,155,0
51,7,639,16,14,365,249,1
59,186,668,10,8,420,304,0
12,19,844,50,21,319,270,0
23,0,652,4,2,410,285,0
3,88,907,95,83,366,333,0
8,0,1277,6,0,28,19,1
15,0,805,34,33,443,413,1
26,0,1080,7,5,71,64,0
39,0,1353,8,6,35,31,0
63,0,1263,50,49,265,249,0
87,6,619,6,5,384,262,1
46,11,1169,15,11,282,258,0
171,0,276,4,2,165,77,1
23,0,680,10,0,418,306,1
7,46,1086,8,6,80,74,0
40,0,1243,53,53,278,259,0
76,0,930,27,26,432,397,0
6,135,964,105,101,394,370,0
43,14,1453,3,2,43,37,0
41,0,874,2,0,443,403,1
37,60,940,18,16,392,366,0
6,2,971,11,9,402,379,1
74,0,275,2,0,166,76,0
40,27,641,22,9,382,262,0
17,42,684,12,10,362,275,0
57,4,913,2,1,373,338,0
134,222,1158,3,3,132,119,1
25,4,1243,5,2,235,212,0
11,4,744,9,7,446,412,1
74,0,667,32,24,417,302,1
97,9,715,10,5,429,298,1
41,0,805,1,1,444,413,1
41,0,657,14,6,375,256,0
19,63,674,12,11,379,262,1
25,33,636,10,8,363,246,1
150,227,704,20,17,420,305,0
304,21,776,7,6,456,417,0
71,21,780,8,6,457,418,0
34,0,605,3,2,384,255,1
8,5,1265,15,13,269,251,0
72,0,1159,2,1,129,119,0
13,19,844,66,21,335,270,0
7,0,861,1,0,451,418,0
69,0,884,1,0,445,421,1
57,260,726,28,27,415,305,0
26,0,268,2,0,161,73,0
165,0,1172,2,1,104,97,1
64,0,750,10,9,437,386,1
178,40,616,10,9,349,240,1
70,196,682,12,10,432,310,0
17,47,1209,13,11,284,262,1
6,67,951,21,19,396,371,0
79,0,609,3,1,352,234,1
65,12,790,16,14,422,385,0
35,2,940,2,1,42,33,0
33,0,746,9,3,369,312,1
12,15,664,22,24,381,288,0
46,0,1355,7,6,34,31,0
2,13,1051,4,2,40,32,0
23,19,844,44,21,313,270,0
90,24,691,26,19,430,315,1
45,0,939,6,5,41,32,0
37,35,670,12,10,386,271,1
149,0,638,1,0,364,245,1
92,0,277,6,1,166,73,1
69,2,233,4,2,141,61,1
19,3,915,1,0,372,337,0
99,0,661,3,2,373,255,1
20,0,790,8,7,432,397,1
65,0,711,2,1,372,302,1
444,0,681,2,2,359,273,1
70,40,570,28,25,336,233,0
10,56,1203,9,7,187,172,0
26,0,697,10,7,421,310,1
12,121,734,33,30,367,303,1
100,13,765,6,5,369,325,1
39,4,762,7,6,367,322,1
73,19,1128,33,21,302,270,1
56,149,963,113,110,406,382,0
49,0,681,5,0,427,317,1
31,0,808,10,9,449,416,1
11,0,1263,11,10,257,236,0
139,14,714,24,16,427,297,0
78,5,813,1,0,446,416,1
16,9,799,12,10,461,418,0
101,24,753,22,18,376,314,1
43,0,934,3,2,381,352,0
23,55,771,19,17,440,403,0
61,25,687,25,19,431,315,0
44,0,645,26,19,400,282,1
65,1,734,2,1,365,303,1
20,0,650,9,6,368,251,1
73,0,715,32,29,429,297,1
42,9,753,1,0,453,413,1
56,27,642,23,18,363,249,1
51,32,654,25,20,413,286,1
19,9,929,5,3,46,38,1
36,6,936,4,3,386,362,0
33,34,1135,11,10,290,262,1
46,24,651,22,20,382,259,1
75,15,233,21,12,147,67,1
46,0,1260,48,47,262,246,0
22,1,233,2,2,140,61,1
5,2,649,5,3,384,261,1
16,2,830,4,3,64,57,0
7,0,862,2,1,452,421,1
47,0,962,50,50,409,382,0
34,9,661,15,14,382,273,0
155,2,236,5,2,141,60,1
27,64,701,32,30,420,307,1
122,7,636,18,12,392,273,1
3,0,1209,2,0,170,157,1
23,0,278,1,2,166,80,1
117,30,619,21,17,386,258,1
21,31,650,22,18,407,283,0
5,46,1226,11,9,279,257,0
10,15,824,9,8,57,48,1
6,4,753,2,1,448,417,0
47,71,736,36,30,415,309,1
206,0,1260,16,15,244,223,0
21,11,794,14,12,457,414,1
26,236,1235,9,6,229,207,1
237,0,752,6,6,374,314,1
11,74,633,12,11,362,241,1
138,227,704,21,17,421,305,1
41,38,1269,10,9,260,245,1
139,108,932,102,98,383,361,1
25,8,802,10,9,462,422,0
54,37,644,17,17,365,262,1
14,4,744,8,7,445,412,1
9,0,686,11,6,414,299,0
28,19,847,41,21,310,270,0
11,0,1186,8,6,175,164,1
12,19,844,83,21,351,269,1
36,29,696,26,22,365,273,1
51,131,1257,3,2,245,223,0
20,36,679,26,24,418,302,0
22,0,1208,38,37,221,199,0
45,80,692,28,27,418,300,0
34,6,869,2,2,45,36,1
14,45,751,14,13,443,398,1
44,1,640,3,0,374,257,0
262,1,795,2,1,458,414,0
99,0,1255,41,40,240,219,0
40,1,620,4,3,387,263,1
63,0,711,2,0,371,302,1
9,50,907,15,12,369,334,1
5,3,799,2,0,461,417,0
29,0,649,2,0,403,283,1
17,19,844,77,21,345,269,0
515,0,655,8,8,376,256,1
32,0,789,11,10,461,422,1
23,19,844,48,21,317,270,0
33,0,935,6,5,441,406,0
4,0,1107,1,0,84,78,1
45,2,614,11,5,351,238,1
49,0,840,3,2,54,46,1
30,0,680,4,2,413,307,1
23,116,813,47,45,447,416,1
15,2,398,3,0,255,157,1
41,9,1190,6,5,108,101,0
35,101,277,32,24,165,73,1
15,0,850,9,7,442,417,0
35,0,1236,19,17,282,262,1
132,166,1384,3,2,41,35,1
11,0,1125,23,20,293,265,1
45,0,1146,19,17,285,259,1
159,65,638,21,19,380,260,1
77,6,639,16,10,376,259,1
12,1,225,1,0,152,68,1
435,1,1057,2,0,20,12,1
44,270,693,37,32,394,299,1
4,21,1426,9,9,40,34,0
20,0,823,32,33,441,415,1
21,0,755,4,0,448,416,1
157,0,801,3,1,415,374,0
32,0,822,1,1,442,416,0
